S/N,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10_None,A10_Chemical Prevention,A10_Rouging,A10_Virus_Free,A10_Virus_Resistant,A10_Phytosanitation,A10_Others,A_11_Neighbouring_Farms,A_11_Farmers Association,A_11_Research_Institutes,A_11_Extenstion Officer,A_11_Previous_planting_season,B1,B2,B3,B4,B5_None,B5_Chemical Prevention,B5_Rouging,B5_Virus_Free,B5_Virus_Resistant,B5_Phytosanitation,B5_Others,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9_Training,C9_Financial_Support,C9_Inputs,D1,D2,D3,D4,D5,D6,D7_Regular_Visits,D7_Inputs,D7_Financial Support,D7_Training,D8_Trainng,D8_Financial_Support,D8_Inputs,E1,E2,E3,E4,E5,E6,E7,E8
1,4,1,1,0,5,10,1,NPFS,0,0,1,0,0,0,0,0,0,1,0,0,0,0,99,1,99,0,0,0,0,0,1,0,1,99,3,1,0,99,1,99,2,1,1,1,0,1,1,0,99,1,2,3,99,1,0,0,0,0,1,1,0,99,0,99,0,99,1,1
2,4,0,0,1,2.025,8,1,Farmers Business school,0,0,1,0,0,0,0,0,0,1,0,0,0,0,99,1,99,0,1,0,0,0,0,1,1,99,2,2,0,99,1,99,2,1,1,1,0,1,1,0,99,1,1,>1,99,0,1,0,0,1,1,0,0,99,0,99,0,99,2,1
3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,0,99,1,Ibadan,2,2
4,6,1,0,1,10,11,1,AY-FPM,0,0,1,0,0,0,0,0,0,0,0,1,0,0,99,1,99,0,0,0,0,0,0,1,0,4,2,2,0,99,1,99,2,1,1,1,1,1,0,0,99,1,1,<1,99,0,0,0,1,0,0,1,0,99,0,99,0,99,2,2
5,6,1,1,1,2,10,1,"Fisheries, Goat and sheep",1,0,0,0,0,0,1,0,0,0,1,0,0,0,99,1,99,0,1,1,0,0,0,0,1,99,1,2,0,99,1,99,99,1,1,1,0,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,0,99,1,ogun,2,1
6,8,1,0,99,2,12,0,99,3,0,1,0,0,0,0,0,1,1,0,0,0,0,99,1,99,0,1,0,0,0,0,0,1,99,3,2,0,99,1,99,1,0,1,1,0,1,0,0,99,1,3,1,99,99,99,99,99,99,99,99,0,99,0,99,0,99,1,2
7,2,0,0,1,2,20,1,NCA,2,0,1,1,0,0,0,0,0,1,0,0,0,0,99,1,99,0,0,0,0,0,1,0,0,1,2,2,0,99,1,99,2,0,1,1,0,0,0,0,99,0,99,99,99,1,0,0,1,1,0,0,0,99,0,99,0,99,1,2
8,6,0,1,1,2,2,0,99,2,0,0,0,1,0,0,1,0,0,1,0,0,0,99,1,99,0,1,0,0,0,1,0,1,99,3,2,0,99,1,0,2,1,1,1,1,0,1,0,99,1,3,5,99,0,1,0,1,0,0,1,0,99,0,99,0,99,1,2
9,6,1,1,99,4,10,1,"Fisheries, Goat and sheep",0,0,1,0,0,0,0,0,0,0,1,0,0,0,99,1,99,0,0,0,1,0,0,1,1,99,2,1,0,99,1,99,1,1,1,1,0,0,1,0,99,0,99,99,99,1,0,0,0,0,0,1,0,99,0,99,0,99,1,1
10,8,0,99,99,1,5,0,99,2,0,0,0,0,0,1,0,0,0,1,0,0,0,99,1,99,0,0,0,0,0,0,1,1,99,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
11,4,0,0,1,1.0125,15,0,99,0,0,0,0,0,0,1,0,0,0,0,0,1,0,99,1,99,0,1,0,0,0,0,0,1,99,3,2,0,99,1,99,2,0,1,1,1,0,1,0,99,1,1,<1,99,1,0,0,1,0,0,0,0,99,0,99,0,99,2,1
12,6,1,1,0,2,5,1,Goat and sheep,1,0,0,0,0,0,1,0,1,0,1,0,0,1,burying of disease planting materials,0,99,0,1,0,0,0,0,0,1,99,2,1,0,99,1,99,2,1,1,1,1,0,1,0,99,0,4,>1,99,1,0,0,1,0,0,1,0,99,0,99,1,ogun,2,1
13,6,1,1,1,1.215,12,1,AFAN,1,0,1,0,0,0,0,0,1,0,0,1,0,0,99,1,99,0,0,0,1,0,0,1,0,2,2,2,0,99,1,99,1,1,1,1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,0,99,0,99,2,2
14,13,1,0,1,99,20,1,"IFAD, IITA",0,0,0,1,0,0,0,0,0,0,1,0,0,0,99,1,99,0,99,99,99,99,99,99,1,99,0,1,0,99,1,0,99,1,1,1,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,0,99,1,IITA ibadan,2,1
15,13,1,1,0,50,2,1,BRACE COOPERATION FARMERS ASS.,2,0,1,0,0,0,1,0,0,0,0,0,0,0,99,1,99,0,1,0,0,0,1,0,1,99,3,2,99,99,99,99,99,99,99,99,99,99,99,0,99,1,1,<1,99,0,1,0,0,0,1,1,99,99,99,99,99,99,99,99
16,10,1,0,0,25,41,1,NNT,2,0,0,0,0,0,1,0,0,1,1,0,0,0,99,1,99,0,0,0,0,0,1,0,0,4,2,1,1,manual cutting,1,99,1,0,1,1,0,0,1,0,99,0,2,1,99,0,0,0,1,0,0,1,0,99,0,99,0,99,1,1
17,10,0,1,1,10,20,1,Sesame,2,0,1,0,0,0,1,0,0,1,0,0,0,0,99,1,99,0,1,0,0,0,0,0,1,99,3,2,0,99,1,99,1,0,1,1,0,0,1,0,99,0,99,99,99,0,1,0,0,0,0,1,0,99,0,99,0,99,0,1
18,10,1,0,1,3,6,0,99,99,1,0,0,0,0,0,0,0,1,0,0,0,0,99,1,99,0,0,0,0,0,1,1,99,99,2,2,0,99,1,99,1,0,1,1,0,0,1,0,99,1,3,>1,99,0,0,0,1,0,0,0,0,99,0,99,0,99,1,2
19,10,1,1,99,6.5,2,1,AFAN,2,0,1,0,0,0,0,0,1,0,0,0,0,0,99,1,99,0,0,0,1,1,0,0,1,99,2,1,0,99,1,99,2,0,1,1,1,1,0,0,99,0,99,99,99,1,0,0,0,0,1,1,0,99,0,99,0,99,1,1
20,1,1,0,99,2,15,0,99,99,1,0,0,0,0,0,0,1,0,0,0,0,0,99,1,99,0,0,0,0,0,1,0,1,99,2,2,0,99,1,99,0,1,1,1,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,0,99,0,99,99,99
21,5,1,1,0,2,5,1,Fish farmers ass.,1,0,1,0,0,0,0,0,0,0,0,1,0,0,99,1,99,0,1,0,0,0,0,0,1,99,2,2,0,99,1,99,2,0,1,1,1,1,1,0,99,1,3,>1,99,1,1,0,0,0,1,0,0,99,0,99,1,osun,2,2
22,1,1,1,0,20,10,1,JOINT FARMERS COMMUNITY INITIATIVE OF NIG.,3,0,1,0,0,0,1,0,1,0,0,0,0,1,99,0,99,0,1,0,0,0,1,0,1,99,2,2,0,99,1,99,1,1,1,1,1,1,1,0,99,1,1,99,99,0,0,0,0,0,1,0,0,99,0,99,0,99,0,1
23,6,1,1,0,50,20,1,AFAN,1,0,1,0,0,0,0,0,0,0,1,0,0,0,99,1,99,0,1,0,0,0,1,0,1,99,3,2,0,99,1,99,2,1,1,1,1,0,1,0,99,0,3,>1,99,99,99,99,99,99,99,99,0,99,0,99,0,99,1,1
24,13,1,0,1,60,2,0,99,2,0,1,0,0,0,0,0,1,0,0,0,1,0,99,1,99,0,0,0,0,0,1,0,0,5,2,2,0,99,1,99,1,1,1,1,0,0,1,0,99,1,1,<1,99,0,1,0,0,0,1,1,0,99,0,99,1,abeokuta ,1,2
25,13,1,0,1,30,27,0,IFAD,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99,1,99,0,1,1,0,0,0,0,1,99,1,2,0,99,1,99,1,0,1,1,0,0,1,99,99,99,4,99,99,99,99,99,99,99,99,99,0,99,0,99,1,IITA ibadan,2,2
26,9,1,0,1,4,10,0,99,0,0,0,0,0,0,1,0,1,0,0,0,0,0,99,1,99,0,0,0,0,0,1,0,1,99,3,2,0,99,1,99,1,1,1,1,0,1,0,0,99,0,99,99,99,0,0,0,1,0,1,0,0,99,0,99,0,99,1,2
27,1,0,1,0,15,9,1,JOINT FARMERS COMMUNITY INITIATIVE OF NIG.,0,0,0,0,0,0,1,0,1,0,0,1,0,1,99,1,99,0,0,0,0,0,1,1,1,99,2,2,0,99,1,99,1,1,1,1,1,1,1,0,99,1,1,99,99,0,0,0,0,0,1,0,0,99,0,99,0,99,2,2
28,5,1,99,99,10,15,1,AFAN,2,0,0,0,0,1,1,0,1,0,0,0,0,0,99,1,99,0,0,0,1,0,1,0,1,99,3,2,0,99,1,99,2,99,99,99,1,0,0,0,99,1,3,3,99,1,0,0,0,0,0,1,0,99,0,99,0,99,2,2
29,6,0,1,99,3,2,1,AFAN,1,0,1,0,0,0,0,0,1,0,0,0,0,0,99,1,99,0,1,0,0,0,0,0,0,99,2,2,0,99,1,99,1,1,1,1,1,0,0,0,99,0,99,99,99,0,1,0,0,0,1,0,0,99,0,99,0,99,1,2
30,6,0,0,1,1,1,1,AFAN,0,0,1,0,0,0,0,0,1,0,0,0,0,0,99,1,99,0,1,0,0,0,0,0,0,3,3,2,0,99,1,99,2,1,1,1,1,0,1,0,99,0,99,never,99,1,0,0,1,0,1,1,0,99,0,99,0,99,2,2
